Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
1.0,gompi2024a,OFF,4,4,collective-osu_neighbor_alltoallv,1.7933333333333332,0.0033333333333333366,1.78,1.8233333333333335,1.83,2.0566666666666666,2.09
1.0,gompi2024a,OFF,4,4,collective-osu_neighbor_alltoallw,1.7966666666666669,0.0033333333333333366,1.78,1.8233333333333335,1.83,2.1300000000000003,2.35
1.0,gompi2024a,OFF,4,4,collective-osu_scatter,0.7866666666666667,0.008819171036881977,0.78,0.8066666666666666,0.82,0.8666666666666667,0.89
1.0,gompi2024a,OFF,4,4,collective-osu_scatter_persistent,0.7766666666666667,0.006666666666666672,0.76,0.7999999999999999,0.82,0.8333333333333334,0.85
1.0,gompi2024a,OFF,4,4,collective-osu_scatterv,0.54,0.05000000000000001,0.49,0.56,0.66,0.5866666666666667,0.69
1.0,gompi2024a,OFF,4,4,collective-osu_scatterv_persistent,0.7399999999999999,0.0404145188432738,0.69,0.7599999999999999,0.84,0.8033333333333333,0.89
1.0,gompi2024a,OFF,4,96,collective-osu_allgather,7.683333333333334,0.02333333333333339,6.95,10.543333333333333,10.67,12.963333333333333,13.59
1.0,gompi2024a,OFF,4,96,collective-osu_allgather_persistent,93.40333333333335,0.2634598852028726,92.78,95.91000000000001,96.21,98.75999999999999,99.98
1.0,gompi2024a,OFF,4,96,collective-osu_allgatherv,14.280000000000001,0.11239810200058217,13.29,18.69,18.87,20.22,20.29
1.0,gompi2024a,OFF,4,96,collective-osu_allgatherv_persistent,75.95666666666666,0.13220354676701226,75.58,76.40666666666667,76.47,80.85000000000001,82.25
1.0,gompi2024a,OFF,4,96,collective-osu_alltoall,22.213333333333335,0.028480012484391512,21.36,24.646666666666665,24.68,28.003333333333334,28.21
1.0,gompi2024a,OFF,4,96,collective-osu_alltoall_persistent,93.8,0.14742229591664013,93.69,96.66333333333334,96.87,99.62333333333333,99.73
1.0,gompi2024a,OFF,4,96,collective-osu_alltoallv,124.27,0.2900574655707604,123.23,126.25999999999999,126.6,142.20333333333335,155.76
1.0,gompi2024a,OFF,4,96,collective-osu_alltoallv_persistent,93.48666666666668,0.7225956299649509,92.48,95.83666666666666,96.25,98.57333333333334,99.34
1.0,gompi2024a,OFF,4,96,collective-osu_alltoallw,96.46,0.4895235779136029,96.71,98.07333333333334,98.83,100.05,100.81
1.0,gompi2024a,OFF,4,96,collective-osu_alltoallw_persistent,93.26666666666667,0.32384838702358426,92.87,96.25666666666666,97.04,98.92,100.1
1.0,gompi2024a,OFF,4,96,collective-osu_bcast,1.6866666666666665,0.008819171036881977,1.64,1.8333333333333333,1.84,2.4933333333333336,2.58
1.0,gompi2024a,OFF,4,96,collective-osu_bcast_persistent,1.9966666666666668,0.017638342073763885,1.94,2.106666666666667,2.12,3.0966666666666662,3.21
1.0,gompi2024a,OFF,4,96,collective-osu_gather,0.7533333333333333,0.003333333333333336,0.73,0.7766666666666667,0.78,1.1566666666666665,1.17
1.0,gompi2024a,OFF,4,96,collective-osu_gather_persistent,0.6,0.005773502691896263,0.56,0.7366666666666667,0.76,0.8833333333333333,0.91
1.0,gompi2024a,OFF,4,96,collective-osu_gatherv,0.32666666666666666,0.008819171036881977,0.28,0.4633333333333334,0.48,0.6066666666666666,0.62
1.0,gompi2024a,OFF,4,96,collective-osu_gatherv_persistent,0.59,0.005773502691896263,0.55,0.7233333333333333,0.73,0.8833333333333333,0.89
