Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
32,gompi2024a,OFF,4,104,collective-osu_allgather,10.645,0.03865085883766226,9.95,13.612,13.72,15.433000000000002,15.69
32,gompi2024a,OFF,4,104,collective-osu_allreduce,9.549,0.023211587144738206,9.46,9.729000000000001,9.82,11.735,12.18
32,gompi2024a,ON,1,4,collective-osu_allgather,0.9960000000000001,0.014079141387961921,0.99,1.028,1.06,2.193,2.43
32,gompi2024a,ON,1,4,collective-osu_allreduce,1.0290000000000001,0.012862520921049826,1.03,1.067,1.09,2.1109999999999998,2.25
32,gompi2024a,ON,1,104,collective-osu_allgather,9.967,0.028830924754891636,9.64,10.891,11.0,15.503,17.06
32,gompi2024a,ON,1,104,collective-osu_allreduce,6.468000000000001,0.02053722906766577,6.3,7.452,7.59,11.699,13.18
32,gompi2024a,ON,4,4,collective-osu_allgather,2.916,0.0033993463423952043,2.87,3.049,3.06,3.6149999999999998,3.92
32,gompi2024a,ON,4,4,collective-osu_allreduce,2.727,0.0044845413490245435,2.7,2.744,2.78,3.7,3.83
32,gompi2024a,ON,4,104,collective-osu_allgather,11.038,0.04914377998395228,10.285,14.053,14.26,15.775,16.28
32,gompi2024a,ON,4,104,collective-osu_allreduce,9.907,0.015709162223930942,9.81,10.096,10.15,12.327,12.59
32,intel2024a,OFF,1,4,collective-osu_allgather,0.709,0.004818944098266991,0.7,0.722,0.77,0.751,0.8
32,intel2024a,OFF,1,4,collective-osu_allreduce,0.379,0.009826268648655783,0.365,0.417,0.48,0.43,0.49
32,intel2024a,OFF,1,104,collective-osu_allgather,7.767,0.050531618264651315,7.52,8.456999999999999,8.77,11.295,12.38
32,intel2024a,OFF,1,104,collective-osu_allreduce,3.614,0.05876885040374515,3.335,4.678,5.02,5.576,6.3
32,intel2024a,OFF,4,4,collective-osu_allgather,2.869,0.0070632067001390525,2.86,2.997,3.01,3.169,3.25
32,intel2024a,OFF,4,4,collective-osu_allreduce,1.661,0.0023333333333333353,1.65,1.686,1.69,1.829,1.92
32,intel2024a,OFF,4,104,collective-osu_allgather,19.214,0.057488163032826965,18.44,18.877000000000002,18.93,19.573,19.96
32,intel2024a,OFF,4,104,collective-osu_allreduce,4.747999999999999,0.006960204339273689,4.675,4.92,4.96,6.247,6.71
32,intel2024a,ON,1,4,collective-osu_allgather,1.0050000000000001,0.004281744192888379,0.97,1.002,1.03,2.205,2.54
32,intel2024a,ON,1,4,collective-osu_allreduce,0.689,0.005044248650140511,0.66,0.6990000000000001,0.74,1.8510000000000002,1.91
32,intel2024a,ON,1,104,collective-osu_allgather,8.179,0.027139557025779838,7.965,8.962,9.17,12.051,12.83
32,intel2024a,ON,1,104,collective-osu_allreduce,3.696,0.054287301564096085,3.57,4.207,4.91,6.371,6.91
32,intel2024a,ON,4,4,collective-osu_allgather,3.158,0.009165151389911705,3.14,3.28,3.29,3.821,4.02
32,intel2024a,ON,4,4,collective-osu_allreduce,1.971,0.00585946527708232,1.93,1.9769999999999999,1.99,2.9490000000000003,3.06
32,intel2024a,ON,4,104,collective-osu_allgather,19.524,0.07009834361650608,18.82,19.185,19.26,20.386000000000003,20.74
32,intel2024a,ON,4,104,collective-osu_allreduce,5.134,0.017139946842909873,5.07,5.25,5.42,7.0969999999999995,7.31
64,gompi2024a,OFF,1,4,collective-osu_allgather,1.034,0.005206833117271107,0.9,1.638,1.71,2.513,2.67
64,gompi2024a,OFF,1,4,collective-osu_allreduce,0.805,0.0037267799624996476,0.805,0.837,0.85,0.8859999999999999,0.9
64,gompi2024a,OFF,1,104,collective-osu_allgather,11.756,0.040365001341921586,11.415,12.913,13.06,17.556,18.68
64,gompi2024a,OFF,1,104,collective-osu_allreduce,5.595000000000001,0.05748912940721926,5.4,6.584999999999999,6.89,10.176,11.98
64,gompi2024a,OFF,4,4,collective-osu_allgather,2.871,0.010049875621120884,2.8499999999999996,2.9560000000000004,2.99,3.072,3.13
64,gompi2024a,OFF,4,4,collective-osu_allreduce,2.89,0.010645812948447537,2.865,2.98,3.05,3.1100000000000003,3.2
64,gompi2024a,OFF,4,104,collective-osu_allgather,14.344999999999999,0.025614665937917516,13.45,18.271,18.42,21.036,21.32
64,gompi2024a,OFF,4,104,collective-osu_allreduce,10.321000000000002,0.03692183936672476,10.175,10.463,10.66,12.184999999999999,12.6
64,gompi2024a,ON,1,4,collective-osu_allgather,1.249,0.01303414319734478,1.1,1.848,2.0,2.902,3.18
64,gompi2024a,ON,1,4,collective-osu_allreduce,1.022,0.012719189352225943,1.01,1.041,1.07,2.162,2.26
64,gompi2024a,ON,1,104,collective-osu_allgather,12.248000000000001,0.04632733774157791,11.875,13.514,13.7,18.503,19.61
64,gompi2024a,ON,1,104,collective-osu_allreduce,6.239,0.03619238716759214,6.08,7.25,7.46,10.947,11.45
